
|| IdLog || StatusLog ||    UserAdmin   ||        Tarea        ||     IpOrigen     ||     MACOrigen     ||   AdminObj   ||      FechaInit      ||      FechaFin      ||
|| 31   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 04:49:17 ||  2022-03-21 04:49:17  ||
|| 32   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 04:51:53 ||  2022-03-21 04:51:53  ||
|| 33   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 04:52:58 ||  2022-03-21 04:52:58  ||
|| 34   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 04:55:41 ||  2022-03-21 04:55:41  ||
|| 35   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 04:58:37 ||  2022-03-21 04:58:37  ||
|| 36   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:00:17 ||  2022-03-21 05:00:17  ||
|| 37   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:03:32 ||  2022-03-21 05:03:32  ||
|| 38   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:03:51 ||  2022-03-21 05:03:51  ||
|| 39   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:06:59 ||  2022-03-21 05:06:59  ||
|| 40   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:08:09 ||  2022-03-21 05:08:09  ||
|| 41   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:08:53 ||  2022-03-21 05:08:53  ||
|| 42   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:12:54 ||  2022-03-21 05:12:54  ||
|| 43   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:13:58 ||  2022-03-21 05:13:58  ||
|| 44   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:14:08 ||  2022-03-21 05:14:08  ||
|| 45   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:15:06 ||  2022-03-21 05:15:06  ||
|| 46   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:15:17 ||  2022-03-21 05:15:17  ||
|| 47   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:15:59 ||  2022-03-21 05:15:59  ||
|| 48   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:16:15 ||  2022-03-21 05:16:15  ||
|| 49   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:17:40 ||  2022-03-21 05:17:40  ||
|| 50   || Completado || admin1 || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || admin1 ||  2022-03-21 05:18:07 ||  2022-03-21 05:18:07  ||
|| 51   || Completado || admin1 || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || admin1 ||  2022-03-21 05:18:35 ||  2022-03-21 05:18:35  ||
|| 52   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:33:33 ||  2022-03-21 05:33:33  ||
|| 53   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:35:51 ||  2022-03-21 05:35:51  ||
|| 54   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:36:08 ||  2022-03-21 05:36:08  ||
|| 55   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-21 05:36:12 ||  2022-03-21 05:36:12  ||
|| 56   || Completado || admin1 || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || admin1 ||  2022-03-21 14:29:30 ||  2022-03-21 14:29:30  ||
